Date,Time,Product,ISIN,Reference exchange,Venue,Quantity,Price,,Local value,,Value EUR,Exchange rate,AutoFX Fee,Transaction and/or third party fees EUR,Total EUR,Order ID,
22-10-2024,11:16,ISHARES CORE MSCI EM IMI UCITS ETF USD ACC,IE00BKM4GZ66,EAM,XAMS,10,"33,2650",EUR,"-332,65",EUR,"-332,65",,"0,00","-3,00","-335,65",c9927add-a39e-4ea1-b8eb-08a48b5ae8ca
22-10-2024,11:13,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,EAM,XAMS,27,"99,6500",EUR,"-2690,55",EUR,"-2690,55",,"0,00","-1,00","-2691,55",f02b369b-0feb-4b6a-a522-ac78f9e50c9f
14-10-2024,11:16,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,EAM,XAMS,30,"99,0000",EUR,"-2970,00",EUR,"-2970,00",,"0,00","-1,00","-2971,00",0450293b-5c32-4c1e-a8e9-87e9226b3fd8
14-10-2024,10:50,ISHARES CORE MSCI EM IMI UCITS ETF USD ACC,IE00BKM4GZ66,EAM,XAMS,11,"33,6050",EUR,"-369,66",EUR,"-369,66",,"0,00","-1,00","-370,66",a01f1b61-fb0d-4dbd-aa15-77d821c3c878
24-09-2024,13:05,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,EAM,XAMS,27,"96,1000",EUR,"-2594,70",EUR,"-2594,70",,"0,00","-1,00","-2595,70",c5af1479-1976-4a6f-ac7f-97001cbaeb4b
28-08-2024,16:49,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,EAM,XAMS,30,"94,5500",EUR,"-2836,50",EUR,"-2836,50",,"0,00","-1,00","-2837,50",b24d8314-679e-4c13-84e0-02aebafadd95
28-08-2024,16:44,ISHARES CORE MSCI EM IMI UCITS ETF USD ACC,IE00BKM4GZ66,EAM,XAMS,13,"31,3330",EUR,"-407,33",EUR,"-407,33",,"0,00","-1,00","-408,33",6510ce59-49e2-44a9-8093-7fa69e5f2a7a
25-07-2024,11:12,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,EAM,XAMS,32,"93,3200",EUR,"-2986,24",EUR,"-2986,24",,"0,00","-1,00","-2987,24",7f1f0570-b434-47a4-9d68-3ca2732f0899
24-07-2024,11:59,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,EAM,XAMS,31,"94,7950",EUR,"-2938,64",EUR,"-2938,64",,"0,00","-1,00","-2939,64",c2468eb9-7b87-469a-92b4-26ca7ff47863
25-06-2024,09:43,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,EAM,XAMS,31,"94,5400",EUR,"-2930,74",EUR,"-2930,74",,"0,00","-1,00","-2931,74",518cd108-cac6-4aaf-8258-ef613736c6d5
